Volcano_ID,Volcano_Name,Volcano_Image,Volcano_Type,Country,epoch_period,Latitude,Longitude,price,quantity
1329,Mageik,https://volcano.si.edu/gallery/photos/GVP-05325.jpg,Stratovolcano,United States,holocene,58.195N,155.253W,100,99
1330,Mago,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),Fiji,pleistocene,17.45S,179.15W,100,99
1331,Mahagnao,https://volcano.si.edu/gallery/photos/GVP-12298.jpg,Stratovolcano,Philippines,holocene,10.882N,124.888E,100,99
1332,Mahawu,https://volcano.si.edu/gallery/photos/GVP-01270.jpg,Stratovolcano,Indonesia,holocene,1.352N,124.865E,100,99
1333,Mahukona,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,United States,pleistocene,20.17N,156.42W,100,99
1334,Maichín  Cerro,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Chile,pleistocene,39.35S,71.55W,100,99
1335,Maiden Peak,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),United States,pleistocene,43.627N,121.965W,100,99
1336,Maidu,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,United States,pleistocene,40.3N,121.62W,100,99
1337,Maipo,https://volcano.si.edu/gallery/photos/GVP-06921.jpg,Caldera,Chile,holocene,34.164S,69.832W,100,99
1338,Makanru Island,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Russia,pleistocene,49.785N,154.429E,100,99
1339,Makaturing,https://volcano.si.edu/gallery/photos/GVP-11151.jpg,Stratovolcano,Philippines,holocene,7.644N,124.317E,100,99
1340,Makian,https://volcano.si.edu/gallery/photos/GVP-06360.jpg,Stratovolcano,Indonesia,holocene,0.32N,127.4E,100,99
1341,Makushin,https://volcano.si.edu/gallery/photos/GVP-04555.jpg,Stratovolcano,United States,holocene,53.891N,166.923W,100,99
1342,Malabar,https://volcano.si.edu/gallery/photos/GVP-11710.jpg,Stratovolcano,Indonesia,pleistocene,7.132S,107.639E,100,99
1343,Malang Plain,https://volcano.si.edu/gallery/photos/GVP-11709.jpg,Maar(s),Indonesia,pleistocene,8.067S,112.733E,100,99
1344,Malaya Ipelka,https://volcano.si.edu/includes/images/noimage.jpg,Complex,Russia,pleistocene,52.28N,156.73E,100,99
1345,Malaya Ketepana,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,pleistocene,56.68N,158.47E,100,99
1346,Malepunyo,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Philippines,pleistocene,14.95N,121.23E,100,99
1347,Malinao,https://volcano.si.edu/gallery/photos/GVP-01837.jpg,Stratovolcano,Philippines,pleistocene,13.416N,123.608E,100,99
1348,Malinche  La,https://volcano.si.edu/gallery/photos/GVP-08004.jpg,Stratovolcano,Mexico,holocene,19.231N,98.032W,100,99
1349,Malindang,https://volcano.si.edu/gallery/photos/GVP-11134.jpg,Stratovolcano,Philippines,holocene,8.22N,123.63E,100,99
1350,Malindig,https://volcano.si.edu/gallery/photos/GVP-12606.jpg,Stratovolcano,Philippines,holocene,13.24N,122.018E,100,99
1351,Malintang,https://volcano.si.edu/gallery/photos/GVP-12599.jpg,Stratovolcano,Indonesia,holocene,0.47N,99.67E,100,99
1352,Mallahle,https://volcano.si.edu/gallery/photos/GVP-11209.jpg,Stratovolcano,Ethiopia,holocene,13.27N,41.65E,100,99
1353,Malpaisillo,https://volcano.si.edu/gallery/photos/GVP-08039.jpg,Pyroclastic shield,Nicaragua,pleistocene,12.58N,86.6W,100,99
1354,Maly Alney,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano(es),Russia,pleistocene,56.47N,159.77E,100,99
1355,Maly Chekchebonay,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,pleistocene,56.8N,159.45E,100,99
1356,Maly Payalpan,https://volcano.si.edu/gallery/photos/GVP-12304.jpg,Shield(s),Russia,pleistocene,55.82N,157.98E,100,99
1357,Maly Semyachik,https://volcano.si.edu/gallery/photos/GVP-02368.jpg,Caldera,Russia,holocene,54.135N,159.674E,100,99
1358,Mammoth Mountain,https://volcano.si.edu/gallery/photos/GVP-06724.jpg,Lava dome(s),United States,holocene,37.631N,119.032W,100,99
1359,Managlase Plateau,https://volcano.si.edu/gallery/photos/GVP-12593.jpg,Volcanic field,Papua New Guinea,holocene,9.08S,148.33E,100,99
1360,Manam,https://volcano.si.edu/gallery/photos/GVP-00438.jpg,Stratovolcano,Papua New Guinea,holocene,4.08S,145.037E,100,99
1361,Manda Gargori,https://volcano.si.edu/gallery/photos/GVP-12573.jpg,Fissure vent(s),Ethiopia,holocene,11.75N,41.48E,100,99
1362,Manda Hararo,https://volcano.si.edu/gallery/photos/GVP-11949.jpg,Shield(s),Ethiopia,holocene,12.17N,40.82E,100,99
1363,Manda-Inakir,https://volcano.si.edu/gallery/photos/GVP-11215.jpg,Fissure vent(s),Ethiopia,holocene,12.38N,42.2E,100,99
1364,Mandalagan,https://volcano.si.edu/gallery/photos/GVP-11139.jpg,Complex,Philippines,holocene,10.65N,123.25E,100,99
1365,Mandalagiri,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Indonesia,pleistocene,7.4S,107.78E,100,99
1366,Mandalawangi,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Indonesia,pleistocene,7.058S,107.864E,100,99
1367,Manengouba,https://volcano.si.edu/gallery/photos/GVP-12251.jpg,Stratovolcano,Cameroon,pleistocene,5.03N,9.83E,100,99
1368,Mangakino,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,New Zealand,pleistocene,38.35S,175.75E,100,99
1369,Maninjau,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Indonesia,pleistocene,0.35S,100.2E,100,99
1370,Manuk,https://volcano.si.edu/gallery/photos/GVP-12603.jpg,Stratovolcano,Indonesia,holocene,5.543S,130.303E,100,99
1371,Manzaz Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-11928.jpg,Pyroclastic cone(s),Algeria,holocene,23.92N,5.83E,100,99
1372,Marapi,https://volcano.si.edu/gallery/photos/GVP-12022.jpg,Complex,Indonesia,holocene,0.38S,100.474E,100,99
1373,Marble Mountain,https://volcano.si.edu/includes/images/noimage.jpg,Shield,United States,pleistocene,46.109N,122.129W,100,99
1374,Marchena,https://volcano.si.edu/gallery/photos/GVP-10180.jpg,Shield,Ecuador,holocene,0.33N,90.47W,100,99
1375,Mare,https://volcano.si.edu/gallery/photos/GVP-11743.jpg,Stratovolcano,Indonesia,holocene,0.57N,127.4E,100,99
1376,Marha  Jabal el-,https://volcano.si.edu/gallery/photos/GVP-12583.jpg,Tuff cone,Yemen,holocene,15.245N,44.236E,100,99
1377,Maria  Doro,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Indonesia,pleistocene,8.483S,118.924E,100,99
1378,Mariana Back-Arc Segment at 15.5N,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,United States,holocene,15.406N,144.506E,100,99
1379,Marinaqui  Laguna,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),Chile,holocene,38.255S,71.167W,100,99
