Volcano_ID,Volcano_Name,Volcano_Image,Volcano_Type,Country,epoch_period,Latitude,Longitude
884,Huixian,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,China,pleistocene,36°N,115.25°E
885,Hule  Cerro de,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Honduras,pleistocene,13.95°N,87.23°W
886,Hulubelu,https://volcano.si.edu/gallery/photos/GVP-04514.jpg,Caldera,Indonesia,holocene,5.334°S,104.59°E
887,Hululais,https://volcano.si.edu/gallery/photos/GVP-06319.jpg,Compound,Indonesia,holocene,3.247°S,102.239°E
888,Hulunilo,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Indonesia,pleistocene,2.418°S,101.776°E
889,Humeros  Los,https://volcano.si.edu/gallery/photos/GVP-08583.jpg,Caldera(s),Mexico,holocene,19.68°N,97.45°W
890,Hunga Tonga-Hunga Ha'apai,https://volcano.si.edu/gallery/photos/GVP-10791.jpg,Submarine,Tonga,holocene,20.536°S,175.382°W
891,Hunter Island,https://volcano.si.edu/gallery/photos/GVP-12598.jpg,Stratovolcano,France,holocene,22.4°S,172.05°E
892,Huri Hills,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Kenya,pleistocene,3.5°N,37.75°E
893,Hut Point Peninsula,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),Antarctica,pleistocene,77.75°S,166.75°E
894,Hutaymah  Harrat,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Saudi Arabia,pleistocene,26.98°N,42.4°E
895,Hydrographers Range,https://volcano.si.edu/gallery/photos/GVP-00484.jpg,Stratovolcano,Papua New Guinea,holocene,9°S,148.37°E
896,Ialibu,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Papua New Guinea,pleistocene,6.23°S,144.03°E
897,Iamalele,https://volcano.si.edu/gallery/photos/GVP-10866.jpg,Lava dome(s),Papua New Guinea,holocene,9.52°S,150.53°E
898,Iblei,https://volcano.si.edu/includes/images/noimage.jpg,Shield?,Italy,pleistocene,37.117°N,14.821°E
899,Ibu,https://volcano.si.edu/gallery/photos/GVP-10060.jpg,Stratovolcano,Indonesia,holocene,1.488°N,127.63°E
900,Ichinsky,https://volcano.si.edu/gallery/photos/GVP-02527.jpg,Stratovolcano,Russia,holocene,55.678°N,157.718°E
901,Iettunup,https://volcano.si.edu/gallery/photos/GVP-12639.jpg,Shield(s),Russia,pleistocene,58.4°N,161.08°E
902,Igolki,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),Russia,pleistocene,52.02°N,156.88°E
